tool,tool_type,catalog_desc,tool_material,diameter,corner_radius,length,flute_length,point_angle,point_length,taper_angle,num_flutes
UGT0201_086,Milling Tool-5 Parameters,End Mill 8 mm,"PVD (TI,AL)N",8.0,,27.0,,,,,4.0
UGT0201_089,Milling Tool-5 Parameters,End mill 10 mm,"PVD (TI,AL)N",10.0,,30.0,,,,,4.0
UGT0201_092,Milling Tool-5 Parameters,End mill 12 mm,"PVD (TI,AL)N",12.0,,34.0,,,,,4.0
UGT0201_094,Milling Tool-5 Parameters,End mill 20 mm,"PVD (TI,AL)N",20.0,,45.0,,,,,4.0
UGT0201_095,Milling Tool-5 Parameters,End mill 20 mm,"PVD (TI,AL)N",20.0,,45.0,,,,,4.0
UGT0201_099,Milling Tool-5 Parameters,End Mill 5 mm,"PVD (TI,AL)N",5.0,,21.0,,,,,4.0
UGT0201_100,Milling Tool-5 Parameters,End Mill 18 mm,"PVD (TI,AL)N",18.0,,32.0,,,,,2.0
UGT0201_101,Milling Tool-5 Parameters,End Mill 10 mm,"PVD (TI,AL)N",10.0,,20.0,,,,,2.0
UGT0201_102,Milling Tool-5 Parameters,End Mill 12 mm,"PVD (TI,AL)N",12.0,,25.0,,,,,2.0
UGT0201_103,Milling Tool-5 Parameters,End Mill 14 mm,"PVD (TI,AL)N",14.0,,25.0,,,,,2.0
UGT0201_104,Milling Tool-5 Parameters,End Mill 20 mm,"PVD (TI,AL)N",20.0,,36.0,,,,,2.0
UGT0201_105,Milling Tool-5 Parameters,End Mill 22 mm,"PVD (TI,AL)N",22.0,,40.0,,,,,2.0
UGT0201_106,Milling Tool-5 Parameters,End Mill 24 mm,"PVD (TI,AL)N",24.0,,45.0,,,,,2.0
UGT0201_107,Milling Tool-5 Parameters,End Mill 25 mm,"PVD (TI,AL)N",25.0,,45.0,,,,,2.0
UGT0201_108,Milling Tool-5 Parameters,End Mill 12.7 mm,"PVD (TI,AL)N",12.7,,25.01,,,,,2.0
UGT0201_109,Milling Tool-5 Parameters,End Mill 25.4 mm,"PVD (TI,AL)N",25.4,,45.0,,,,,2.0
UGT0201_118,Milling Tool-5 Parameters,Carbide End Mill 3.0,"PVD (TI,AL)N",3.0,,40.0,,,,,4.0
UGT0201_120,Milling Tool-5 Parameters,Carbide End Mill 4.0,"PVD (TI,AL)N",4.0,,50.0,,,,,4.0
